ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal,green_count
HAS,C,2025-09-08,2025-09-11,78.75,2025-09-16,73.165,3,126,False,-708.41,-7.14,103,硬止损-7%,9927.5,ACCUMULATING,7
TXT,C,2025-09-15,2025-09-16,83.476,2025-10-14,83.639,20,119,False,14.39,0.14,84,横盘20天出场,9938.61,ACCUMULATING,6
EDU,C,2025-10-13,2025-10-15,58.488,2025-11-07,54.34,17,170,False,-709.88,-7.14,106,硬止损-7%,9948.0,ACCUMULATING,6
GFF,C,2025-10-28,2025-11-03,74.743,2025-11-14,69.441,9,133,False,-709.72,-7.14,97,硬止损-7%,9945.79,ACCUMULATING,7
BMO,C,2025-11-28,2025-12-02,125.866,2026-01-23,137.552,35,79,True,942.99,9.48,85,持仓35天强制出场,9948.36,ACCUMULATING,6
GMRE,C,2025-12-05,2025-12-09,33.64,2026-01-08,34.572,20,297,False,271.63,2.72,104,横盘20天出场,9995.97,ACCUMULATING,7
OR,C,2025-12-15,2025-12-19,36.949,2026-01-02,34.328,8,270,False,-712.25,-7.14,109,硬止损-7%,9981.28,ACCUMULATING,7
AMCR,C,2026-01-05,2026-01-08,42.831,2026-03-02,48.102,35,233,True,1205.61,12.07,101,持仓35天强制出场,9984.67,ACCUMULATING,7
AKAM,C,2026-01-09,2026-01-12,91.361,2026-02-02,96.533,14,109,True,769.77,7.73,106,MA10追踪出场,9963.36,ACCUMULATING,7
BX,C,2026-01-12,2026-01-16,161.783,2026-01-23,150.308,4,61,False,-704.58,-7.14,109,硬止损-7%,9873.71,ACCUMULATING,7
KKR,C,2026-01-13,2026-01-14,131.972,2026-01-20,122.611,3,75,False,-706.65,-7.14,105,硬止损-7%,9902.82,ACCUMULATING,7
PAGS,C,2026-01-14,2026-01-21,10.5,2026-02-03,11.329,9,952,True,922.79,9.23,109,MA10追踪出场,10001.46,ACCUMULATING,7
KVUE,C,2026-01-14,2026-01-20,17.408,2026-03-03,18.132,29,574,True,595.46,5.96,101,MA10追踪出场,9997.0,ACCUMULATING,7
WM,C,2026-01-14,2026-01-21,225.819,2026-02-19,232.263,20,44,False,278.45,2.8,97,横盘20天出场,9940.99,ACCUMULATING,7
DECK,C,2026-01-15,2026-01-21,102.042,2026-02-27,117.153,26,97,True,1371.27,13.85,109,MA10追踪出场,9903.02,ACCUMULATING,7
SHG,C,2026-01-16,2026-01-20,55.696,2026-02-26,69.47,26,179,True,1922.2,19.27,102,MA10追踪出场,9974.5,ACCUMULATING,7
LII,C,2026-01-20,2026-01-21,515.423,2026-01-28,478.864,5,19,False,-699.17,-7.14,104,硬止损-7%,9797.93,ACCUMULATING,6
HESM,C,2026-01-21,2026-01-23,34.577,2026-03-16,39.301,35,289,True,1229.08,12.29,100,持仓35天强制出场,9997.77,ACCUMULATING,7
BV,C,2026-01-28,2026-02-02,13.814,2026-02-04,12.834,2,723,False,-713.04,-7.14,108,硬止损-7%,9992.37,ACCUMULATING,7
ARMK,C,2026-01-29,2026-02-04,38.69,2026-02-12,38.729,6,258,True,287.78,2.88,110,成本止损,9987.06,ACCUMULATING,7
RPM,C,2026-02-02,2026-02-03,110.543,2026-03-04,108.205,20,90,False,-215.28,-2.16,108,横盘20天出场,9953.87,ACCUMULATING,7
SPXC,C,2026-02-02,2026-02-05,218.238,2026-02-25,218.456,13,45,True,188.29,1.92,103,成本止损,9825.62,ACCUMULATING,7
KDP,C,2026-02-05,2026-02-11,29.658,2026-03-06,27.554,16,337,False,-713.57,-7.14,95,硬止损-7%,9999.72,ACCUMULATING,7
GRMN,C,2026-02-09,2026-02-13,214.134,2026-03-05,239.014,13,46,True,1098.54,11.15,99,MA10追踪出场,9855.09,ACCUMULATING,6
CWK,C,2026-02-09,2026-02-13,12.903,2026-03-02,12.916,10,775,True,242.31,2.42,96,成本止损,10004.74,ACCUMULATING,6
IMAX,C,2026-02-23,2026-02-26,41.812,2026-03-11,38.846,9,239,False,-713.45,-7.14,106,硬止损-7%,9998.01,ACCUMULATING,7
OXM,C,2026-03-03,2026-03-09,38.295,2026-03-12,35.579,3,261,False,-713.59,-7.14,110,硬止损-7%,9999.99,ACCUMULATING,7
FTK,C,2026-03-09,2026-03-12,18.378,2026-03-16,18.397,2,544,True,-127.88,-1.28,90,成本止损,10002.83,ACCUMULATING,6
FFIV,C,2026-03-18,2026-03-19,290.59,2026-04-17,310.559,20,34,False,673.66,6.81,109,持仓35天强制出场,9885.01,ACCUMULATING,7
TAL,C,2026-04-13,2026-04-14,11.682,2026-04-17,12.627,3,856,False,804.11,8.04,95,持仓35天强制出场,10004.51,ACCUMULATING,6
