ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal,green_count
ACB,C,2025-09-23,2025-09-29,6.236,2025-09-30,5.794,1,1603,False,-713.71,-7.14,110,硬止损-7%,10001.68,ACCUMULATING,6
EDU,C,2025-10-10,2025-10-15,58.488,2025-11-07,54.34,17,170,False,-709.88,-7.14,110,硬止损-7%,9948.0,ACCUMULATING,6
MSGE,C,2025-11-05,2025-11-07,46.557,2025-12-16,52.228,26,214,True,1018.06,10.21,111,MA10追踪出场,9968.07,ACCUMULATING,7
ITW,C,2026-01-05,2026-01-06,252.805,2026-01-28,256.37,15,39,False,134.04,1.36,101,横盘15天出场,9864.34,ACCUMULATING,6
TXN,C,2026-01-05,2026-01-06,191.045,2026-02-24,213.137,33,52,True,1160.24,11.67,96,MA21追踪出场,9939.31,ACCUMULATING,6
PAGS,C,2026-01-06,2026-01-08,9.94,2026-02-03,11.329,17,1006,True,1254.22,12.54,119,MA10追踪出场,10004.57,ACCUMULATING,7
WMS,C,2026-01-07,2026-01-09,158.782,2026-02-02,155.98,15,62,False,-178.57,-1.81,107,横盘15天出场,9849.39,ACCUMULATING,6
DXCM,C,2026-01-09,2026-01-12,71.051,2026-02-03,71.558,15,140,False,66.02,0.66,123,横盘15天出场,9952.11,ACCUMULATING,7
BKU,C,2026-01-12,2026-01-14,44.932,2026-01-28,46.568,9,222,True,608.34,6.1,113,MA10追踪出场,9979.83,ACCUMULATING,7
WST,C,2026-01-14,2026-01-21,255.182,2026-01-23,237.082,2,39,False,-710.52,-7.14,103,硬止损-7%,9957.06,ACCUMULATING,6
EFX,C,2026-01-15,2026-01-21,211.65,2026-02-03,196.638,9,47,False,-710.2,-7.14,113,硬止损-7%,9952.53,ACCUMULATING,7
RHP,C,2026-01-16,2026-01-21,94.802,2026-02-27,97.353,26,105,True,403.13,4.05,106,MA10追踪出场,9959.14,ACCUMULATING,6
LII,C,2026-01-20,2026-01-21,515.423,2026-01-28,478.864,5,19,False,-699.17,-7.14,104,硬止损-7%,9797.93,ACCUMULATING,6
DRH,C,2026-01-20,2026-01-21,9.418,2026-03-03,9.776,28,1061,True,429.62,4.3,81,MA10追踪出场,9997.87,ACCUMULATING,6
CWK,C,2026-01-22,2026-01-28,16.547,2026-02-03,15.373,4,604,False,-713.52,-7.14,120,硬止损-7%,9999.1,ACCUMULATING,7
GTES,C,2026-01-26,2026-01-28,22.983,2026-02-25,27.482,19,435,True,1683.47,16.83,105,MA10追踪出场,10002.59,ACCUMULATING,6
BV,C,2026-01-27,2026-02-02,13.814,2026-02-04,12.834,2,723,False,-713.04,-7.14,98,硬止损-7%,9992.37,ACCUMULATING,7
IBP,C,2026-01-28,2026-02-03,301.17,2026-02-18,324.906,10,33,True,789.37,7.94,94,MA10追踪出场,9943.57,ACCUMULATING,6
BIIB,C,2026-01-29,2026-01-30,180.07,2026-02-19,191.888,13,55,True,808.27,8.16,112,MA10追踪出场,9908.8,ACCUMULATING,7
SPXC,C,2026-02-02,2026-02-05,218.238,2026-02-25,218.456,13,45,True,188.29,1.92,103,成本止损,9825.62,ACCUMULATING,7
RHP,C,2026-02-02,2026-02-06,96.767,2026-03-02,98.319,15,103,False,154.75,1.55,105,横盘15天出场,9972.01,ACCUMULATING,6
GRMN,C,2026-02-09,2026-02-13,214.134,2026-03-05,239.014,13,46,True,1098.54,11.15,99,MA10追踪出场,9855.09,ACCUMULATING,6
CWK,C,2026-02-09,2026-02-13,12.903,2026-03-02,12.916,10,775,True,242.31,2.42,94,成本止损,10004.74,ACCUMULATING,6
OXM,C,2026-03-05,2026-03-09,38.295,2026-03-12,35.579,3,261,False,-713.59,-7.14,117,硬止损-7%,9999.99,ACCUMULATING,7
TAL,C,2026-04-13,2026-04-14,11.682,2026-04-17,12.627,3,856,False,804.11,8.04,93,持仓35天强制出场,10004.51,ACCUMULATING,6
